motif_name	a_hot_motif	b_hot_not	c_idr_nonhot_motif	d_idr_nonhot_not	OR	logOR	SE	CI_low	CI_high	p_value	q_value
LIG_LYPXL_L_2	0	20617	108	1245853	0.2784653992318949	-1.2784614670750438	1.4174857653641877	0.0173054539975421	4.480840466848876	0.4275194043531699	0.6134729664092236
LIG_LYPXL_S_1	4	20613	625	1245336	0.3866564983262989	-0.9502185813276054	0.5016466047631666	0.1446488892219553	1.0335595973264	0.0555918881864459	0.1032838764727126
LIG_LYPXL_SIV_4	3	20614	485	1245476	0.3737253933119219	-0.984233993737127	0.5791757096341167	0.1201014610585591	1.1629389715588063	0.1023350939745885	0.1745134694349263
LIG_LYPXL_yS_3	14	20603	1488	1244473	0.568303224971413	-0.565100155925828	0.2686074358858936	0.3356888028239366	0.9621070253043268	0.0314317576964007	0.0613006103139748
LIG_MAD2	29	20588	1250	1244711	1.4026275111715565	0.3383472713383773	0.1879684388500175	0.9703767616675688	2.027422762798284	0.0760321466231873	0.136935447744822
LIG_Menin_MBM1_1	20	20597	107	1245854	11.306010901687436	2.4253345224917493	0.243711197556889	7.01226371380634	18.228904063804773	3.222280796644657e-14	1.8346211632509095e-13
LIG_MLH1_MIPbox_1	25	20592	1313	1244648	1.1508621276328816	0.1405113377108242	0.2020172780025809	0.7745736522178446	1.709951833537425	0.4491165709098894	0.6418548564015829
LIG_MSH2_SHIPbox_1	62	20555	11366	1234595	0.3276355890876668	-1.1158532971049249	0.1275400874376537	0.2551683211905034	0.4206834090376009	2.676131762316762e-26	2.422242338712351e-25
LIG_MTR4_AIM_1	44	20573	2438	1243523	1.0908754583161258	0.0869805466374946	0.1522723105641474	0.8093909869539307	1.470252677306068	0.5257213842499577	0.739361149961096
LIG_Mtr4_Air2_1	0	20617	1	1245960	20.14406046643224	3.002909479006791	1.6330082583214578	0.8205448506983131	494.5289361452236	1.0	1.0
LIG_Mtr4_Trf4_1	0	20617	10	1245951	2.877702136996426	1.0569921065824344	1.447510760002601	0.1686163972133485	49.11248091012003	1.0	1.0
LIG_Mtr4_Trf4_2	0	20617	1	1245960	20.14406046643224	3.002909479006791	1.6330082583214578	0.8205448506983131	494.5289361452236	1.0	1.0
LIG_MYND_1	62	20555	3636	1242325	1.0305891328612309	0.0301306123786432	0.1282712542492406	0.8014913927238198	1.3251720110956322	0.7944691351939626	1.0
LIG_MYND_2	0	20617	88	1245873	0.3414009134634816	-1.0746977929854182	1.4182202720888275	0.0211861094583515	5.501462358760437	0.4091543259892515	0.6017978211425241
LIG_MYND_3	8	20609	434	1245527	1.1140289699390875	0.1079831464982768	0.3568661833637543	0.5535104911045294	2.2421626433620254	0.7048307680852299	0.9227489392672592
LIG_NBox_RRM_1	0	20617	145	1245816	0.2076467252280012	-1.571917079663003	1.4166588006312109	0.0129253041247884	3.335872183867754	0.1818598515106014	0.2904820252635399
LIG_NRBOX	58	20559	10134	1235827	0.3440351260615894	-1.0670115161775204	0.1318692788398481	0.2656766522432112	0.4455045897516881	2.6069431782682197e-22	2.091479413474277e-21
LIG_Nrd1CID_NIM_1	0	20617	391	1245570	0.0771561499742698	-2.5619239888422896	1.4151337688526344	0.00481708562554	1.2358243015837118	0.0038502281721871	0.0087123752870644
LIG_NRP_CendR_1	0	20617	130	1245831	0.2315169524085619	-1.4631021795902237	1.4169375922783478	0.0144032722237293	3.721383475918907	0.2814191004201738	0.428193717449661
LIG_OCRL_FandH_1	0	20617	712	1245249	0.0423843481627556	-3.1609761320006102	1.4147271165527295	0.0026482896023423	0.678337054826926	1.815831891867644e-05	6.163352479127676e-05
LIG_PALB2_WD40_1	18	20599	498	1245463	2.185384481759262	0.7817917772595528	0.2400269498290801	1.3652519025378584	3.498186176658166	0.0026376742526004	0.0061256513892629
LIG_PAM2_1	3	20614	323	1245638	0.5612396036118409	-0.5776073637287015	0.5800677737022258	0.1800464870251005	1.7494920221268362	0.5052044401191045	0.7133486694481755
LIG_PAM2_2	0	20617	3	1245958	8.63315491347503	2.155610013430976	1.511874198071714	0.4458987303279202	167.1486341870644	1.0	1.0
LIG_PCNA_APIM_2	0	20617	122	1245839	0.2466380106062068	-1.3998335614187427	1.4171141698760503	0.0153386830970849	3.9658103561281455	0.2738499352941448	0.4221354897765638
LIG_PCNA_PIPBox_1	8	20609	3063	1242898	0.1575148703689912	-1.8482354101320544	0.3540844593755184	0.0786898619721304	0.3153002656955658	3.504399596107265e-13	1.846347846904275e-12
LIG_PCNA_TLS_4	0	20617	354	1245607	0.0852116502423499	-2.4626171145612346	1.415227960357607	0.005319032160685	1.3651027325409872	0.005320392108782	0.0116652075428575
LIG_PCNA_yPIPBox_3	86	20531	11183	1234778	0.4625076350237334	-0.7710922140064919	0.1084750898398	0.3739237459863753	0.5720773680499054	8.456278859637368e-16	5.2369586621964736e-15
LIG_PDZ_Class_1	14	20603	970	1244991	0.8721517384866883	-0.1367918581854752	0.2692746536589755	0.5144946205966944	1.4784384996351891	0.7057853076548442	0.9227489392672592
LIG_PDZ_Class_2	26	20591	1116	1244845	1.4084680313231466	0.3425026111105381	0.1985118737735079	0.9544875670797196	2.078374055021728	0.0993122911796023	0.171849209737253
LIG_PDZ_Class_3	11	20606	487	1245474	1.365226451656492	0.3113203135267086	0.3049783786780711	0.7509341541070788	2.482032884119961	0.2850202716518374	0.431811827867376
LIG_PDZ_Wminus1_1	0	20617	39	1245922	0.7649409912004825	-0.2679565838163549	1.423153456518339	0.0470127066953007	12.446309969157005	1.0	1.0
LIG_Pex14_1	44	20573	5026	1240935	0.5280579677167573	-0.6385492139597214	0.1515772125001747	0.3923344749974942	0.710733404886055	3.6494124212363936e-06	1.3419193590587993e-05
LIG_Pex14_2	77	20540	12856	1233105	0.3595708534472782	-1.0228440323746304	0.1145176586018822	0.2872797948333128	0.4500532267639014	1.985763223602652e-26	1.8945254538695567e-25
LIG_Pex14_3	0	20617	14	1245947	2.083846581620066	0.7342155039163933	1.438407043339669	0.1242993759454755	34.93514382272086	1.0	1.0
LIG_Pex14_4	0	20617	4	1245957	6.714670654648828	1.9042947825547976	1.4907285223351598	0.3614855822797935	124.72641845368123	1.0	1.0
LIG_Pex3_1	11	20606	138	1245823	4.81921439794516	1.5726109268003423	0.3133764508660898	2.607503064361917	8.906922385169	3.738594348944546e-05	0.0001245022457714
LIG_PROFILIN_1	5	20612	405	1245556	0.7460331150738033	-0.29298528958423	0.4500205040714066	0.3088111118328701	1.8022842684752172	0.6947346905301517	0.9196589886467632
LIG_PTAP_UEV_1	16	20601	634	1245327	1.525547824161548	0.422353574510493	0.25323236641696	0.9286885366933412	2.5060028974736035	0.1169883012956642	0.1966517636065214
LIG_PTB_Apo_2	127	20490	9197	1236764	0.8334938722405767	-0.182128928659253	0.0896234328313613	0.6992192965306254	0.9935538657322548	0.0439793576063902	0.0843734414948683
LIG_PTB_Phospho_1	67	20550	3396	1242565	1.1929284917994265	0.1764112015032446	0.1235690244238826	0.9363330095291332	1.5198421630595902	0.1573352592685111	0.2555714718225398
LIG_RBL1_LxSxE_2	5	20612	410	1245551	0.736932191998031	-0.3052593964556397	0.4499870472310069	0.3050639021639305	1.7801813054603774	0.6956060905628492	0.9196589886467632
LIG_RB_LxCxE_1	35	20582	2955	1243006	0.7153131520798898	-0.3350348572342481	0.1701741128711172	0.5124377091586351	0.9985075188525387	0.0502344465876462	0.0948275916868401
LIG_RB_pABgroove_1	45	20572	1478	1244483	1.841834198223106	0.6107619219593899	0.1514867172925183	1.3686816209884478	2.478555393543043	0.0002233598814586	0.0006570503179574
LIG_REV1ctd_RIR_1	20	20597	4601	1241360	0.2619820526381196	-1.3394792789485896	0.2242023648036435	0.1688210646604124	0.4065523223807563	4.6820824831244375e-14	2.623452565941153e-13
LIG_RPA_C_Fungi	28	20589	1501	1244460	1.127516815007878	0.1200177058159768	0.1908661348132446	0.7756298124619021	1.639047581333078	0.4797068579281099	0.6800663487896499
